name,product_name,sum(units)
Daniel Martinez,TV,26
Christopher Miller,Laptop,102
Daniel Martinez,T-Shirt,10
Emma Taylor,Headphones,10
Olivia Davis,Boots,100
john wick,Sandals,72
Michael Johnson,Microwave,34
john wick,Washing Machine,22
Christopher Miller,Electric Kettle,44
Sophia Moore,Sneakers,6
Emily Brown,Dress,48
Michael Johnson,Jeans,20
Olivia Davis,Hoodie,34
Christopher Miller,Washing Machine,52
David Wilson,Hair Dryer,52
Jane Smith,Blender,48
john wick,T-Shirt,22
Christopher Miller,Skirt,22
Emily Brown,Heels,28
Michael Johnson,Hair Straightener,38
Emily Brown,Jeans,52
Olivia Davis,Iron,52
Emma Taylor,Sneakers,34
Daniel Martinez,Monitor,44
Jane Smith,Smartphone,60
john wick,Tablet,32
Jane Smith,Iron,34
Sophia Moore,Laptop,36
john wick,TV,24
Sophia Moore,Hoodie,10
David Wilson,Electric Kettle,18
Jane Smith,Blouse,40
Daniel Martinez,Hair Straightener,72
Daniel Martinez,Hoodie,20
Olivia Davis,Toaster,32
Michael Johnson,Printer,12
David Wilson,Dress,78
Sophia Moore,TV,30
john wick,Smartphone,12
Michael Johnson,Laptop,44
Daniel Martinez,Coffee Maker,38
Michael Johnson,Camera,50
Sophia Moore,Iron,36
Christopher Miller,Hoodie,36
Michael Johnson,Hair Dryer,14
John Doe,Skirt,26
Sophia Moore,Smartphone,18
Sophia Moore,Monitor,14
John Doe,Microwave,40
john wick,Heels,6
Michael Johnson,Toaster,46
Jane Smith,Electric Kettle,12
David Wilson,Toaster,68
Daniel Martinez,Sandals,52
Sophia Moore,Coffee Maker,50
Olivia Davis,Blender,52
David Wilson,Hoodie,40
Michael Johnson,Smartphone,38
Michael Johnson,Boots,92
Christopher Miller,Iron,26
Christopher Miller,Jeans,50
Jane Smith,Tablet,12
John Doe,Sneakers,8
Emily Brown,Sneakers,20
Daniel Martinez,Headphones,6
Sophia Moore,Sandals,64
Emma Taylor,Tablet,42
Emma Taylor,Laptop,44
John Doe,Toaster,14
John Doe,Tablet,88
Emily Brown,Electric Kettle,38
Jane Smith,Laptop,36
Olivia Davis,Microwave,72
David Wilson,Monitor,38
John Doe,T-Shirt,50
Sophia Moore,Boots,58
David Wilson,Iron,42
Emma Taylor,Iron,4
John Doe,Smartphone,40
John Doe,Hair Straightener,38
Olivia Davis,Heels,26
Christopher Miller,Dress,14
Jane Smith,TV,12
John Doe,Hair Dryer,30
john wick,Monitor,24
Olivia Davis,Printer,38
john wick,Jeans,16
Daniel Martinez,Microwave,10
David Wilson,Jeans,74
Sophia Moore,Tablet,70
Jane Smith,Dress,34
Emily Brown,TV,38
Olivia Davis,Jeans,24
Michael Johnson,Headphones,8
Olivia Davis,T-Shirt,40
Olivia Davis,Sneakers,34
Sophia Moore,Microwave,14
Emily Brown,Sandals,68
Emily Brown,Tablet,8
john wick,Camera,32
Jane Smith,Hair Straightener,6
John Doe,Printer,56
Emma Taylor,Jeans,30
